id,numero_plant,date_plantation,age_plant,longitude,latitude,suivi_biannuelle,altitude,zone_pedo,distance_a_mer_reel,commentaires,geom
1896,"RN 01915",2015-08-06,2,77.5495,-37.8031,1,150,16,0,,0104000020D70B0000040000000101000000F7FA15DBF4A8564147DDC2ED220334410101000000F7FA15DBF4A8564147DDC2ED220334410101000000F7FA15DBF4A8564147DDC2ED220334410101000000F7FA15DBF4A8564147DDC2ED22033441
1897,"RN 01916",2015-08-06,2,77.5494,-37.8031,,150,16,0,,0104000020D70B000001000000010100000031369648F4A85641B6BADB4B2D033441
1898,"RN 01917",2015-08-06,2,77.5495,-37.8031,,150,16,0,,0104000020D70B0000010000000101000000F7FA15DBF4A8564147DDC2ED22033441
1899,"RN 01918",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1900,"RN 01919",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1901,"RN 01920",2015-08-06,2,77.5495,-37.8031,,150,16,0,,0104000020D70B0000010000000101000000F7FA15DBF4A8564147DDC2ED22033441
1902,"RN 01921",2015-08-06,2,77.5495,-37.8031,,150,16,0,,0104000020D70B0000010000000101000000F7FA15DBF4A8564147DDC2ED22033441
1903,"RN 01922",2015-08-06,2,77.5495,-37.8031,,150,16,0,,0104000020D70B0000010000000101000000F7FA15DBF4A8564147DDC2ED22033441
1904,"RN 01923",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1905,"RN 01924",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1906,"RN 01925",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1907,"RN 01926",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1908,"RN 01927",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1909,"RN 01928",2015-08-06,2,77.5495,-37.8031,,150,16,0,,0104000020D70B0000010000000101000000F7FA15DBF4A8564147DDC2ED22033441
1910,"RN 01929",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1911,"RN 01930",2015-08-06,2,77.5496,-37.803,,150,16,0,,0104000020D70B0000010000000101000000633DD7B1F8A856416E4D33721B033441
1912,"RN 01931",2015-08-06,2,77.5495,-37.803,1,150,16,0,,0104000020D70B000004000000010100000061AF571FF8A856418EEC4DD025033441010100000061AF571FF8A856418EEC4DD025033441010100000061AF571FF8A856418EEC4DD025033441010100000061AF571FF8A856418EEC4DD025033441
1913,"RN 01932",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1914,"RN 01933",2015-08-06,2,77.5495,-37.8029,,150,16,0,,0104000020D70B000001000000010100000085919963FBA856413824D9B228033441
1915,"RN 01934",2015-08-06,2,77.5496,-37.803,,150,16,0,,0104000020D70B0000010000000101000000633DD7B1F8A856416E4D33721B033441
1916,"RN 01935",2015-08-06,2,77.5495,-37.8029,,150,16,0,,0104000020D70B000001000000010100000085919963FBA856413824D9B228033441
1917,"RN 01936",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1918,"RN 01937",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1919,"RN 01938",2015-08-06,2,77.5496,-37.803,,150,16,0,,0104000020D70B0000010000000101000000633DD7B1F8A856416E4D33721B033441
1920,"RN 01939",2015-08-06,2,77.5495,-37.8029,,150,16,0,,0104000020D70B000001000000010100000085919963FBA856413824D9B228033441
1921,"RN 01940",2015-08-06,2,77.5496,-37.803,1,150,16,0,,0104000020D70B0000040000000101000000633DD7B1F8A856416E4D33721B0334410101000000633DD7B1F8A856416E4D33721B0334410101000000633DD7B1F8A856416E4D33721B0334410101000000633DD7B1F8A856416E4D33721B033441
1922,"RN 01941",2015-08-06,2,77.5496,-37.803,,150,16,0,,0104000020D70B0000010000000101000000633DD7B1F8A856416E4D33721B033441
1923,"RN 01942",2015-08-06,2,77.5495,-37.803,,150,16,0,,0104000020D70B000001000000010100000061AF571FF8A856418EEC4DD025033441
1924,"RN 01943",2015-08-06,2,77.5496,-37.803,,150,16,0,,0104000020D70B0000010000000101000000633DD7B1F8A856416E4D33721B033441
